"","hashed_userid","masked_username","location","following","followers","totaltweets","usercreateddt","tweetid","tweetcreatedts","retweetcount","text","hashtags","language","favorite_count","is_retweet","original_tweet_id","in_reply_to_status_id","is_quote_status","quoted_status_id","extractedts"
0,93503586444192173848,"********dTravel","USA",224,65,252,"2021-02-23",1543314380376354816,"2022-07-02 19:23:16.000000",0,"#4thOfJuly is an American holiday that celebrates the independence from Great Britain.  Did you know that the #DeclarationOfIndependence was formally adopted on July 4, 1776 in the State of #Pennsylvania?

Wishing you all a happy #4thofJulyWeekend!  🎆🇺🇸🎇
https://t.co/3vJq7NMqsi https://t.co/Mxl0XFAyBL","[{'text': '4thOfJuly', 'indices': [0, 10]}, {'text': 'DeclarationOfIndependence', 'indices': [110, 136]}, {'text': 'Pennsylvania', 'indices': [190, 203]}, {'text': '4thofJulyWeekend', 'indices': [230, 247]}]","en",0,False,0,0,False,0,"2022-07-03 02:36:02.714997"
1,66383405929755284434,"*******lingTV","Fayetteville, AR",742,6376,3182,"2017-05-01",1543314412790059011,"2022-07-02 19:23:24.000000",3,"We all love watching fireworks during #4thofJuly celebrations! 🎇🧨🎆 🇺🇸But they can be very triggering for our neighbors who are veterans. 

Learn more about how, and what you can do to minimize harm to veterans with #PTSD tonight on @KNWAFOX24! #NWANews https://t.co/Ei3OhNYAqO","[{'text': '4thofJuly', 'indices': [38, 48]}, {'text': 'PTSD', 'indices': [215, 220]}, {'text': 'NWANews', 'indices': [244, 252]}]","en",4,False,0,0,False,0,"2022-07-03 02:36:02.701725"
2,19601962852519644642,"******REGIME","Merced, Ca",55,121,510,"2016-11-21",1543314509267210240,"2022-07-02 19:23:47.000000",1,"Look who’s here! Kona Ice of Merced and members of the Golden Valley Cardinal Regime are at our booth right now performing and serving up cold treats. Come on down! #4thofjuly #fundraiser https://t.co/KlyqEh0zza","[{'text': '4thofjuly', 'indices': [165, 175]}, {'text': 'fundraiser', 'indices': [176, 187]}]","en",2,False,0,0,False,0,"2022-07-03 02:36:02.687366"
3,87764411532600502887,"******oolHQ","New York, Los Angeles",130,1107,913,"2019-11-04",1543314509405663232,"2022-07-02 19:23:47.000000",0,"Stuck in traffic?  Listen to our first What-to-Watch JAM for a quick take on the best #movies and #TV for all occasions this #FourthofJuly weekend:  https://t.co/IsoIjuOWXY   

#4thOfJuly #movie #nowplaying #whattowatch #familymovie #hiddengem #StrangerThings ++ https://t.co/LZmlKWtPlC","[{'text': 'movies', 'indices': [86, 93]}, {'text': 'TV', 'indices': [98, 101]}, {'text': 'FourthofJuly', 'indices': [125, 138]}, {'text': '4thOfJuly', 'indices': [177, 187]}, {'text': 'movie', 'indices': [188, 194]}, {'text': 'nowplaying', 'indices': [195, 206]}, {'text': 'whattowatch', 'indices': [207, 219]}, {'text': 'familymovie', 'indices': [220, 232]}, {'text': 'hiddengem', 'indices': [233, 243]}, {'text': 'StrangerThings', 'indices': [244, 259]}]","en",1,False,0,0,False,0,"2022-07-03 02:36:02.673359"
4,54488481554936358334,"*******poonme","United States",14581,17200,32179,"2008-10-15",1543314575004688384,"2022-07-02 19:24:02.000000",1,"What could make a holiday weekend better? How about a @Campari ice cream float? https://t.co/RQjJcf3CB1 #FourthofJulyWeekend @suziday123 @gailbenzler @CattMcCreary @eatlivestay @RoadtripC @CaraMiaSG @ibstatguy @OffTrackCooking @plsthepalate @GrnLakeGirl @MacCocktail https://t.co/OkzMCJoulQ","[{'text': 'FourthofJulyWeekend', 'indices': [104, 124]}]","en",2,False,0,0,False,0,"2022-07-03 02:36:02.660227"
5,52459481791845492787,"*******enn2000","",1,26,2660,"2021-10-05",1543314776113250304,"2022-07-02 19:24:50.000000",0,"The Glorious Fourth--sending up the fire balloon
1871.
#FireBalloon #4thofJuly #July4th #Vintage #Balloons 
https://t.co/J2xkUHxsWg https://t.co/7dUaLrVuXv","[{'text': 'FireBalloon', 'indices': [55, 67]}, {'text': '4thofJuly', 'indices': [68, 78]}, {'text': 'July4th', 'indices': [79, 87]}, {'text': 'Vintage', 'indices': [88, 96]}, {'text': 'Balloons', 'indices': [97, 106]}]","en",0,False,0,0,False,0,"2022-07-03 02:36:02.646693"
6,16329682993021069561,"*******eehomes","Richmond Hill, GA",3,26,1008,"2015-11-19",1543314780685045760,"2022-07-02 19:24:51.000000",0,"Happy Birthday America!
#4thofJuly #independenceday #savannahga https://t.co/yp2gpgY6rx","[{'text': '4thofJuly', 'indices': [24, 34]}, {'text': 'independenceday', 'indices': [35, 51]}, {'text': 'savannahga', 'indices': [52, 63]}]","en",0,False,0,0,False,0,"2022-07-03 02:36:02.632403"
7,52526721517307451651,"********orschFL","In between Disney Cruises",9946,40600,221324,"2009-01-31",1543314823651418117,"2022-07-02 19:25:02.000000",0,"20 delicious #4thofJuly food ideas that can get delivered just in time.

https://t.co/qpR6uNLsOm https://t.co/AXOgDCn6Yw","[{'text': '4thofJuly', 'indices': [13, 23]}]","en",4,False,0,0,False,0,"2022-07-03 02:36:02.618966"
8,55383892311312695476,"******ssalem","Salem oregon",173,186,7345,"2013-11-22",1543314958363926528,"2022-07-02 19:25:34.000000",0,"4th of July sale starts today 75% off reg price limited quantities available #4thofjulysale #sale #smokeys #420 #710 #4thofjuly #waterpipe #bong #weed #oil #dabrig #concentrate #smokeys #503 @ Smokey's gift shop https://t.co/ryloOgpEqP","[{'text': '4thofjulysale', 'indices': [77, 91]}, {'text': 'sale', 'indices': [92, 97]}, {'text': 'smokeys', 'indices': [98, 106]}, {'text': '4thofjuly', 'indices': [117, 127]}, {'text': 'waterpipe', 'indices': [128, 138]}, {'text': 'bong', 'indices': [139, 144]}, {'text': 'weed', 'indices': [145, 150]}, {'text': 'oil', 'indices': [151, 155]}, {'text': 'dabrig', 'indices': [156, 163]}, {'text': 'concentrate', 'indices': [164, 176]}, {'text': 'smokeys', 'indices': [177, 185]}]","en",0,False,0,0,False,0,"2022-07-03 02:36:02.605172"
9,39494761963253289261,"******armer","Indiana, USA",3464,2260,22713,"2011-04-17",1543314959039348737,"2022-07-02 19:25:34.000000",0,"Over the years 🇺🇸 has become less free and less patriotic. Will this be the last #FourthofJuly that we can celebrate our freedoms? Many feel July 4th celebrations will come to an end soon if things don’t change. https://t.co/2zqGk6mPms","[{'text': 'FourthofJuly', 'indices': [81, 94]}]","en",1,False,0,0,True,1543067436341235712,"2022-07-03 02:36:02.590971"
